HD_2022,precinct_2022,act_22_D_votes,tdp_22_est_D_votes,dnc_22_est_D_votes
112,950838,696,800,771
112,950839,360,391,398
112,950840,621,646,640
112,950841,680,741,714
112,950842,656,728,714
112,950953,714,867,911
112,950954,1,1,1
112,950956,200,238,257
118,1708731,265,297,300
118,1708739,97,114,114
118,1708740,61,64,67
118,1708762,143,158,159
118,1816391,6,11,12
118,1816394,521,544,545
118,1816395,83,85,85
118,1816396,139,167,164
118,1837089,49,48,49
118,1941565,30,36,37
118,1941578,16,22,28
118,2047220,132,154,154
118,2047275,34,38,39
118,949062,253,274,278
118,949074,,,1
118,949095,,,1
118,949097,490,524,528
118,949098,369,408,414
118,949099,504,574,584
118,949100,532,608,622
118,949101,212,243,248
118,949102,447,506,521
118,949103,513,567,577
118,949105,710,770,787
118,949107,882,1007,1020
118,949108,373,427,424
118,949109,411,496,490
118,949110,93,96,96
118,949113,23,27,30
118,949114,313,393,401
118,949115,201,233,223
118,949116,365,459,464
118,949117,157,173,161
118,949118,469,585,586
118,949119,729,776,749
118,949132,464,466,446
118,949140,12,15,15
118,949152,193,221,215
118,949154,163,178,181
118,949156,537,648,641
118,949333,539,565,560
118,949392,332,357,341
118,949405,922,938,916
118,949408,208,222,220
118,949410,851,868,826
118,949415,834,875,856
118,949532,339,354,344
118,949533,643,702,692
118,949534,419,433,426
118,949535,324,363,370
118,949548,136,206,232
118,949549,462,590,610
118,949550,337,396,388
118,949551,368,445,443
118,949555,156,205,222
118,949556,333,338,338
118,949558,76,58,58
118,949562,1,6,8
118,949563,71,94,97
118,949574,497,526,510
118,949575,364,370,365
118,949577,222,254,248
118,949581,557,567,548
118,949582,267,322,315
118,949585,803,845,826
118,949593,13,15,15
118,949594,12,14,16
118,949597,35,49,46
118,949602,423,458,444
118,949608,0,3,3
118,949611,566,613,587
118,949612,12,16,19
118,949617,99,109,110
118,949624,117,134,135
118,949626,96,95,94
118,949631,113,116,113
118,949637,460,508,510
118,949638,18,17,17
118,949644,385,396,386
118,949645,326,330,330
118,949652,761,805,778
121,1708754,163,169,170
121,1816379,318,335,328
121,1816380,691,734,730
121,1816382,2,2,3
121,1816389,29,31,30
121,1816392,8,7,6
121,1941572,861,994,1011
121,2046894,63,78,73
121,949306,846,906,905
121,949312,733,781,786
121,949323,549,616,621
121,949325,853,911,919
121,949326,445,556,608
121,949327,515,555,559
121,949328,18,22,22
121,949330,519,581,604
121,949331,402,474,478
121,949332,413,447,452
121,949333,,,1
121,949344,823,923,951
121,949345,593,623,595
121,949351,489,513,512
121,949352,627,646,634
121,949353,554,561,551
121,949354,623,663,672
121,949355,306,315,303
121,949357,328,351,344
121,949358,514,539,541
121,949364,463,504,502
121,949365,562,583,571
121,949370,808,841,833
121,949377,938,1056,1094
121,949385,297,306,302
121,949386,582,622,629
121,949387,654,697,692
121,949388,389,419,423
121,949389,869,898,892
121,949390,322,352,351
121,949393,953,999,1018
121,949395,795,824,806
121,949405,,,1
121,949409,677,723,719
121,949413,403,413,407
121,949415,,,0
121,949419,503,548,556
121,949421,393,436,440
121,949422,827,883,885
121,949423,280,282,273
121,949425,888,943,945
121,949426,753,783,790
121,949427,599,665,668
121,949428,188,196,204
121,949429,1232,1343,1342
121,949430,920,982,966
121,949441,749,830,827
121,949442,7,12,12
121,949443,22,470,469
121,949443,34,470,469
121,949443,363,470,469
121,949448,277,278,270
121,949454,13,10,11
121,949457,402,421,407
121,949458,448,480,472
121,949460,3,4,4
121,949461,769,790,765
121,949462,526,555,552
121,949467,427,480,473
121,949468,953,1044,1020
121,949498,249,264,263
121,949523,673,688,706
121,949571,,,1
121,949572,,,1
121,949573,,,1
121,949579,159,163,170
121,949589,228,226,229
121,949642,75,78,78
121,949643,94,98,97
121,949646,410,409,404
121,949649,260,261,253
138,1239905,,,1
138,1709663,58,58,57
138,1709682,297,337,335
138,1709739,19,16,16
138,1709740,16,18,18
138,1709758,295,327,327
138,2046862,174,171,177
138,2047165,533,583,582
138,2047171,113,125,123
138,2047248,122,129,126
138,2047252,151,177,183
138,952357,393,429,422
138,952375,670,752,770
138,952417,738,841,841
138,952421,639,643,649
138,952456,1075,1182,1162
138,952466,583,633,641
138,952525,336,333,340
138,952534,934,1111,1165
138,952560,378,397,395
138,952562,1002,1077,1097
138,952569,483,590,626
138,952574,534,593,649
138,952609,364,401,396
138,952696,983,1031,1036
138,952704,1002,1069,1073
138,952721,341,382,384
138,952740,153,172,173
138,952741,757,813,816
138,952742,523,552,546
138,952758,,,1
138,952790,578,627,627
138,952811,588,648,639
138,952817,733,790,782
138,952871,563,609,626
138,952903,911,980,1007
138,952915,346,351,354
138,952916,1043,1132,1146
138,952936,321,361,373
138,952937,,,1
138,952944,823,885,884
138,952954,903,946,968
138,952959,440,466,461
138,952977,676,752,767
138,952979,542,594,623
138,952991,123,131,131
138,952997,182,222,227
138,953020,604,686,717
138,953048,388,478,512
138,953057,281,280,271
138,953074,642,701,702
