sos_precinct_id,party,HD,total,pct,eday,mail,early
BEXAR 3124,3124 BS 67,121,,,,,
,,,,,,,
,Marc LaHood,,2438,56.70%,475,106,1857
,Laurel Jordan Swift,,1862,43.30%,343,92,1427
BEXAR 3125,3125 BS 73,121,,,,,
,,,,,,,
,Marc LaHood,,1611,56.31%,261,53,1297
,Laurel Jordan Swift,,1250,43.69%,201,79,970
BEXAR 3137,3137 BS 67,121,,,,,
,,,,,,,
,Marc LaHood,,1326,56.35%,279,40,1007
,Laurel Jordan Swift,,1027,43.65%,210,40,777
BEXAR 3138,3138 BS 57,121,,,,,
,,,,,,,
,Marc LaHood,,37,80.43%,6,1,30
,Laurel Jordan Swift,,9,19.57%,2,0,7
BEXAR 3139,3139 BS 57,121,,,,,
,,,,,,,
,Marc LaHood,,646,53.17%,122,16,508
,Laurel Jordan Swift,,569,46.83%,107,24,438
BEXAR 3144,3144 BS 67,121,,,,,
,,,,,,,
,Marc LaHood,,433,47.32%,69,8,356
,Laurel Jordan Swift,,482,52.68%,54,18,410
BEXAR 3150,3150 BS 57,121,,,,,
,,,,,,,
,Marc LaHood,,14,28.00%,3,0,11
,Laurel Jordan Swift,,36,72.00%,7,0,29
BEXAR 3153,3153 BS 57,121,,,,,
,,,,,,,
,Marc LaHood,,493,50.72%,95,21,377
,Laurel Jordan Swift,,479,49.28%,61,32,386
BEXAR 3154,3154 BS 57,121,,,,,
,,,,,,,
,Marc LaHood,,643,53.10%,67,38,538
,Laurel Jordan Swift,,568,46.90%,57,47,464
BEXAR 3156,3156 BS 57,121,,,,,
,,,,,,,
,Marc LaHood,,2,40.00%,0,0,2
,Laurel Jordan Swift,,3,60.00%,1,0,2
BEXAR 3157,3157 BS 57,121,,,,,
,,,,,,,
,Marc LaHood,,996,51.77%,138,36,822
,Laurel Jordan Swift,,928,48.23%,126,82,720
BEXAR 3159,3159 BS 83,121,,,,,
,,,,,,,
,Marc LaHood,,511,43.12%,168,23,320
,Laurel Jordan Swift,,674,56.88%,164,39,471
BEXAR 3164,3164 BS 67,121,,,,,
,,,,,,,
,Marc LaHood,,970,63.73%,129,47,794
,Laurel Jordan Swift,,552,36.27%,77,39,436
BEXAR 3165,3165 BS 57,121,,,,,
,,,,,,,
,Marc LaHood,,1374,52.10%,201,28,1145
,Laurel Jordan Swift,,1263,47.90%,178,72,1013
BEXAR 3170,3170 BS 57,121,,,,,
,,,,,,,
,Marc LaHood,,0,,,,
,Laurel Jordan Swift,,0,,,,
BEXAR 3177,3177 BS 57,121,,,,,
,,,,,,,
,Marc LaHood,,0,,,,
,Laurel Jordan Swift,,0,,,,
BEXAR 3180,3180 BS 57,121,,,,,
,,,,,,,
,Marc LaHood,,341,46.71%,53,15,273
