HD_2020,precinct_2020,act_20_D_votes,tdp_20_est_D_votes,dnc_20_est_D_votes
112,950663,1481,1508.0,1604.0
112,950664,680,642.0,711.0
112,950665,733,779.0,818.0
112,950666,,710.0,655.0
112,950836,455,523.0,453.0
112,950837,503,668.0,549.0
118,1708731,,59.0,66.0
118,1708733,,134.0,146.0
118,1708739,,168.0,196.0
118,1708740,,278.0,314.0
118,1708765,,460.0,518.0
118,1816367,,201.0,221.0
118,1941578,,39.0,41.0
118,1941579,,1.0,2.0
118,949062,,195.0,207.0
118,949065,,457.0,508.0
118,949066,,510.0,568.0
118,949067,,420.0,445.0
118,949069,,828.0,898.0
118,949071,,904.0,973.0
118,949072,,623.0,670.0
118,949073,,343.0,371.0
118,949074,,875.0,948.0
118,949079,,360.0,390.0
118,949095,,881.0,956.0
118,949096,,1331.0,1485.0
118,949097,,791.0,878.0
118,949098,,616.0,667.0
118,949099,,846.0,923.0
118,949100,,950.0,996.0
118,949101,,535.0,567.0
118,949102,,708.0,771.0
118,949103,,810.0,893.0
118,949104,,77.0,87.0
118,949105,,1022.0,1095.0
118,949107,,1228.0,1388.0
118,949108,,655.0,777.0
118,949109,,794.0,901.0
118,949110,,128.0,164.0
118,949114,,630.0,713.0
118,949116,,768.0,860.0
118,949117,,247.0,297.0
118,949140,,614.0,704.0
118,949147,,289.0,312.0
118,949152,,304.0,343.0
118,949154,,255.0,301.0
118,949156,,957.0,1112.0
118,949392,,516.0,531.0
118,949408,,297.0,329.0
118,949410,,1163.0,1208.0
118,949534,,547.0,494.0
118,949535,,540.0,548.0
118,949548,,346.0,353.0
118,949549,,792.0,852.0
118,949550,,577.0,633.0
118,949551,,623.0,697.0
118,949558,,127.0,156.0
118,949563,,139.0,152.0
118,949574,,715.0,794.0
118,949575,,551.0,593.0
118,949581,,708.0,772.0
118,949582,,668.0,682.0
118,949585,,1194.0,1277.0
118,949597,,58.0,66.0
118,949602,,521.0,547.0
118,949624,,131.0,134.0
118,949626,,51.0,61.0
118,949631,,161.0,186.0
118,949638,,27.0,36.0
118,949652,,1025.0,1057.0
121,1708754,,198.0,200.0
121,1816379,,455.0,458.0
121,1816380,,824.0,790.0
121,1816382,,3.0,2.0
121,1816389,,40.0,47.0
121,1816392,,6.0,7.0
121,1820013,,0.0,0.0
121,1941576,,2.0,3.0
121,949312,,1130.0,1131.0
121,949323,,737.0,625.0
121,949325,,1107.0,989.0
121,949326,,752.0,610.0
121,949327,,677.0,610.0
121,949330,,702.0,636.0
121,949331,,589.0,517.0
121,949332,,591.0,566.0
121,949333,,730.0,777.0
121,949345,,793.0,813.0
121,949351,,609.0,574.0
121,949352,,763.0,744.0
121,949353,,673.0,620.0
121,949354,,797.0,760.0
121,949355,,400.0,389.0
121,949358,,647.0,635.0
121,949364,,670.0,672.0
121,949365,,750.0,737.0
121,949366,,741.0,773.0
121,949367,,10.0,8.0
121,949368,,772.0,801.0
121,949377,,1467.0,1474.0
121,949385,,407.0,405.0
121,949386,,869.0,876.0
121,949387,,920.0,930.0
121,949388,,546.0,550.0
121,949389,,1185.0,1203.0
121,949390,,460.0,460.0
121,949393,,1251.0,1237.0
121,949395,,1139.0,1137.0
121,949405,,1240.0,1291.0
121,949409,,939.0,935.0
121,949413,,528.0,502.0
121,949415,,1116.0,1173.0
121,949419,,723.0,683.0
121,949422,,1113.0,1079.0
121,949423,,369.0,354.0
121,949425,,1371.0,1416.0
121,949427,,867.0,871.0
121,949429,,1447.0,1520.0
121,949435,,0.0,0.0
121,949454,,15.0,17.0
121,949457,,582.0,565.0
121,949458,,591.0,566.0
121,949460,,8.0,6.0
121,949461,,973.0,974.0
121,949462,,829.0,884.0
121,949468,,1366.0,1321.0
121,949498,,392.0,423.0
121,949499,,52.0,59.0
121,949515,,1259.0,1266.0
121,949523,,882.0,824.0
121,949571,,638.0,658.0
121,949572,,572.0,597.0
121,949573,,870.0,973.0
121,949576,,434.0,483.0
121,949579,,281.0,322.0
121,949620,,128.0,131.0
121,949622,,150.0,177.0
121,949642,,103.0,109.0
121,949643,,133.0,145.0
121,949644,,469.0,461.0
121,949645,,469.0,508.0
121,949646,,547.0,561.0
121,949647,,484.0,542.0
121,949649,,332.0,329.0
138,1239905,1518,2419.0,2496.0
138,1709682,361,432.0,377.0
138,1709699,,1.0,2.0
138,1709700,378,395.0,412.0
138,1867199,131,142.0,149.0
138,952357,544,587.0,557.0
138,952421,753,1728.0,1704.0
138,952456,1335,1637.0,1492.0
138,952466,739,873.0,840.0
138,952560,555,652.0,664.0
138,952562,1433,1582.0,1573.0
138,952564,816,1093.0,1088.0
138,952609,452,546.0,520.0
138,952696,1494,1645.0,1694.0
138,952704,1286,1504.0,1455.0
138,952721,428,520.0,509.0
138,952741,1040,1448.0,1417.0
138,952742,659,754.0,723.0
138,952758,1025,1875.0,2012.0
138,952811,994,1585.0,1638.0
138,952817,1151,1290.0,1237.0
138,952871,654,829.0,785.0
138,952915,551,571.0,619.0
138,952916,1554,1870.0,1828.0
138,952936,373,514.0,474.0
138,952937,1546,1716.0,1792.0
138,952944,1055,1471.0,1328.0
138,952979,883,1075.0,1124.0
138,952991,182,214.0,232.0
138,952997,255,297.0,282.0
138,953048,468,639.0,543.0
138,953057,525,531.0,577.0
138,953087,1892,2676.0,2628.0
